q,n,universe,total,W,U,B,U_over_W,B_over_W,canonical_B_states,local_pair_geometry_types,successful_bridge_moves,successful_no_merge_moves,first_branching_example
2,1,ordinary words with q labeled colors,2,0,0,0,,,0,0,0,0,
2,2,ordinary words with q labeled colors,4,2,2,0,1.0,0.0,0,0,0,2,
2,3,ordinary words with q labeled colors,8,2,2,0,1.0,0.0,0,0,0,2,
2,4,ordinary words with q labeled colors,16,6,4,2,0.6666666666666666,0.3333333333333333,1,1,2,6,0011
2,5,ordinary words with q labeled colors,32,12,8,4,0.6666666666666666,0.3333333333333333,1,1,6,10,00011
2,6,ordinary words with q labeled colors,64,26,14,12,0.5384615384615384,0.46153846153846156,3,4,18,22,000011
2,7,ordinary words with q labeled colors,128,58,26,32,0.4482758620689655,0.5517241379310345,6,7,50,46,0000011
2,8,ordinary words with q labeled colors,256,126,48,78,0.38095238095238093,0.6190476190476191,12,18,130,98,00000011
2,9,ordinary words with q labeled colors,512,278,88,190,0.31654676258992803,0.6834532374100719,24,29,334,214,000000011
2,10,ordinary words with q labeled colors,1024,602,158,444,0.26245847176079734,0.7375415282392026,45,45,838,466,0000000011
2,11,ordinary words with q labeled colors,2048,1300,278,1022,0.21384615384615385,0.7861538461538462,83,58,2070,1022,00000000011
2,12,ordinary words with q labeled colors,4096,2774,480,2294,0.17303532804614274,0.8269646719538573,153,69,5022,2226,000000000011
2,13,ordinary words with q labeled colors,8192,5878,816,5062,0.1388227288193263,0.8611772711806737,271,76,11982,4826,0000000000011
2,14,ordinary words with q labeled colors,16384,12350,1370,10980,0.11093117408906883,0.8890688259109312,483,78,28130,10374,00000000000011
2,15,ordinary words with q labeled colors,32768,25778,2278,23500,0.08836992784544961,0.9116300721545504,836,78,65066,22130,000000000000011
3,1,ordinary words with q labeled colors,3,0,0,0,,,0,0,0,0,
3,2,ordinary words with q labeled colors,9,3,3,0,1.0,0.0,0,0,0,3,
3,3,ordinary words with q labeled colors,27,3,3,0,1.0,0.0,0,0,0,3,
3,4,ordinary words with q labeled colors,81,15,9,6,0.6,0.4,1,1,6,15,0011
3,5,ordinary words with q labeled colors,243,33,21,12,0.6363636363636364,0.36363636363636365,1,1,18,27,00011
3,6,ordinary words with q labeled colors,729,105,45,60,0.42857142857142855,0.5714285714285714,6,8,72,105,000011
3,7,ordinary words with q labeled colors,2187,297,105,192,0.35353535353535354,0.6464646464646465,13,15,240,285,0000011
3,8,ordinary words with q labeled colors,6561,879,237,642,0.2696245733788396,0.7303754266211604,38,56,810,945,00000011
3,9,ordinary words with q labeled colors,19683,2631,537,2094,0.20410490307867732,0.7958950969213227,104,105,2718,2961,000000011
3,10,ordinary words with q labeled colors,59049,7833,1209,6624,0.15434699348908465,0.8456530065109154,279,230,8976,9501,0000000011
3,11,ordinary words with q labeled colors,177147,23697,2709,20988,0.11431826813520699,0.885681731864793,787,357,29760,30681,00000000011
3,12,ordinary words with q labeled colors,531441,71385,6057,65328,0.08484975835259509,0.9151502416474049,2139,517,97746,98517,000000000011
3,13,ordinary words with q labeled colors,1594323,216765,13521,203244,0.062376306137983534,0.9376236938620165,5938,579,320886,318705,0000000000011
4,1,ordinary words with q labeled colors,4,0,0,0,,,0,0,0,0,
4,2,ordinary words with q labeled colors,16,4,4,0,1.0,0.0,0,0,0,4,
4,3,ordinary words with q labeled colors,64,4,4,0,1.0,0.0,0,0,0,4,
4,4,ordinary words with q labeled colors,256,28,16,12,0.5714285714285714,0.42857142857142855,1,1,12,28,0011
4,5,ordinary words with q labeled colors,1024,64,40,24,0.625,0.375,1,1,36,52,00011
4,6,ordinary words with q labeled colors,4096,268,100,168,0.373134328358209,0.6268656716417911,6,8,180,292,000011
4,7,ordinary words with q labeled colors,16384,844,268,576,0.3175355450236967,0.6824644549763034,13,15,660,868,0000011
4,8,ordinary words with q labeled colors,65536,3100,688,2412,0.22193548387096773,0.7780645161290323,47,68,2700,3796,00000011
4,9,ordinary words with q labeled colors,262144,10876,1792,9084,0.16476645825671202,0.835233541743288,135,131,10548,13756,000000011
4,10,ordinary words with q labeled colors,1048576,39244,4636,34608,0.11813270818469065,0.8818672918153093,442,354,41628,55036,0000000011
4,11,ordinary words with q labeled colors,4194304,142432,11980,130452,0.08411031228937317,0.9158896877106268,1462,586,164412,212452,00000000011
