q,n,adjacent,distance_2,distance_3,distance_4_plus,bridge_bridge,bridge_no_merge,no_merge_no_merge,endpoint_involved,interior_pair
2,1,,,,,,,,,
2,2,,,,,,,,,
2,3,,,,,,,,,
2,4,2,,,,,,2,2,
2,5,4,,,,,,4,4,
2,6,10,6,,,,8,8,16,
2,7,20,24,,,2,28,14,42,2
2,8,48,66,12,2,18,84,26,110,18
2,9,116,164,68,16,80,232,52,284,80
2,10,300,398,238,92,306,612,110,722,306
2,11,776,952,692,416,1020,1576,240,1816,1020
2,12,1990,2266,1830,1546,3144,3960,528,4488,3144
2,13,4992,5352,4572,5080,9098,9740,1158,10898,9098
2,14,12236,12530,11018,15308,25106,23468,2518,25986,25106
2,15,29320,29032,25896,43326,66658,55496,5420,60916,66658
3,1,,,,,,,,,
3,2,,,,,,,,,
3,3,,,,,,,,,
3,4,6,,,,,,6,6,
3,5,12,,,,,,12,12,
3,6,48,36,,,,36,48,78,6
3,7,120,144,,,12,132,120,228,36
3,8,420,522,168,24,102,588,444,846,288
3,9,1296,1698,960,180,528,2172,1434,2760,1374
3,10,4344,5508,4014,1710,2424,8100,5052,9288,6288
3,11,14256,17856,14700,10296,10050,29616,17442,30852,26256
3,12,47244,58014,50610,50958,39738,106548,60540,101994,104832
3,13,156168,189126,170184,227346,151278,381360,210186,337110,405714
4,1,,,,,,,,,
4,2,,,,,,,,,
4,3,,,,,,,,,
4,4,12,,,,,,12,12,
4,5,24,,,,,,24,24,
4,6,132,108,,,,96,144,216,24
4,7,360,432,,,36,360,396,660,132
4,8,1632,1956,792,108,324,2088,2076,3156,1332
4,9,5688,7296,4536,792,1896,8784,7632,11520,6792
4,10,23352,28980,22236,10872,9996,40728,34716,47580,37860
4,11,89232,111912,94152,72072,48408,177264,141696,184944,182424
