q,n,distance_class,interaction,pairs
3,10,1,absorbed_original_run,2184
3,10,1,exact_commute,2160
3,10,2,exact_commute,5508
3,10,3,exact_commute,4014
3,10,4+,exact_commute,1710
3,11,1,absorbed_original_run,7548
3,11,1,exact_commute,6708
3,11,2,exact_commute,17856
3,11,3,exact_commute,14700
3,11,4+,exact_commute,10296
3,12,1,absorbed_original_run,26190
3,12,1,exact_commute,21054
3,12,2,exact_commute,58014
3,12,3,exact_commute,50610
3,12,4+,exact_commute,50958
3,13,1,absorbed_original_run,89388
3,13,1,exact_commute,66780
3,13,2,exact_commute,189126
3,13,3,exact_commute,170184
3,13,4+,exact_commute,227346
4,10,1,absorbed_original_run,7980
4,10,1,exact_commute,15372
4,10,2,exact_commute,28980
4,10,3,exact_commute,22236
4,10,4+,exact_commute,10872
4,11,1,absorbed_original_run,31728
4,11,1,exact_commute,57504
4,11,2,exact_commute,111912
4,11,3,exact_commute,94152
4,11,4+,exact_commute,72072
